idx,question_普通模型,pred_普通模型,gold_普通模型,score_普通模型,em_普通模型,rouge1_普通模型,categories_普通模型,use_cot_普通模型,cot_type_普通模型,question_COT模型,pred_COT模型,gold_COT模型,score_COT模型,em_COT模型,rouge1_COT模型,categories_COT模型,use_cot_COT模型,cot_type_COT模型,score_diff
250,根据专利文本，本发明的多级扩散泵旨在解决什么问题？,降低多级扩散泵的振动噪音,降低泵的振动噪音。,0.5714285714285715,0.0,0.761904761904762,['其他'],False,unknown,根据专利文本，本发明的多级扩散泵旨在解决什么问题？,降低多级扩散泵的振动噪音,降低泵的振动噪音。,0.5714285714285715,0.0,0.761904761904762,['其他'],False,other,0.0
251,参考文件中第9页图2，叶轮6a相对于叶轮6的周向安装位置的相位错开了多少个间距？,0.5个间距,0.5个间距,1.0,1.0,1.0,"['位置关系', '连接关系', '指定页面', '数量相关']",False,unknown,参考文件中第9页图2，叶轮6a相对于叶轮6的周向安装位置的相位错开了多少个间距？,叶轮6a相对于叶轮6的周向安装位置的相位错开了0.5个间距,0.5个间距,0.2571428571428571,0.0,0.34285714285714286,"['位置关系', '连接关系', '指定页面', '数量相关']",True,position,0.7428571428571429
252,基于文件中第9页图2，如果叶轮按照逆时针方向旋转，接下来实线叶片（6）会被旋转到哪个方位？,右上方,右侧,0.30000000000000004,0.0,0.4,['指定页面'],False,unknown,基于文件中第9页图2，如果叶轮按照逆时针方向旋转，接下来实线叶片（6）会被旋转到哪个方位？,位于区段8上方,右侧,0.0,0.0,0.0,['指定页面'],True,position,0.30000000000000004
253,基于文件中第9页图1，如果增加旋转轴（4）的直径，会对哪个部件的尺寸产生直接影响？,部件3,毂（3）,0.2142857142857143,0.0,0.28571428571428575,"['部件识别', '指定页面']",False,unknown,基于文件中第9页图1，如果增加旋转轴（4）的直径，会对哪个部件的尺寸产生直接影响？,旋转轴,毂（3）,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.2142857142857143
254,根据文本信息，该饮用水供给系统中，哪个组件用于检测由NF膜或UF膜过滤后的水的矿物质成分？,矿物质补给装置13,第一水质检测组件（电导率计s2、s5）,0.05357142857142857,0.0,0.07142857142857142,['功能作用'],False,unknown,根据文本信息，该饮用水供给系统中，哪个组件用于检测由NF膜或UF膜过滤后的水的矿物质成分？,矿物质补给装置13,第一水质检测组件（电导率计s2、s5）,0.05357142857142857,0.0,0.07142857142857142,['功能作用'],False,other,0.0
255,根据文本信息，为了使用户能够预防虫牙，饮用水供给系统可以添加什么物质？,氟,氟,1.0,1.0,1.0,['功能作用'],False,unknown,根据文本信息，为了使用户能够预防虫牙，饮用水供给系统可以添加什么物质？,氟,氟,1.0,1.0,1.0,['功能作用'],False,other,0.0
256,参考文件中第14页的图片，编号为8a的部件相对于编号为13的部件的位置是什么？,在下方,右上方,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,参考文件中第14页的图片，编号为8a的部件相对于编号为13的部件的位置是什么？,部件8a在部件13的右下方,右上方,0.1875,0.0,0.25,"['位置关系', '部件识别', '指定页面']",True,position,0.0625
257,参考文件中第14页的图片，压力计t1位于哪个部件的附近？,活性炭吸附器3,砂滤装置2,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,参考文件中第14页的图片，压力计t1位于哪个部件的附近？,活性炭吸附器3,砂滤装置2,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.0
258,参考文件中第14页的图片，如果水流经过第一原水容器1a，并且阀d5处于开启状态，那么接下来水流会经过哪个部件？,砂滤装置2,砂滤装置2,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,参考文件中第14页的图片，如果水流经过第一原水容器1a，并且阀d5处于开启状态，那么接下来水流会经过哪个部件？,部件1(第一原水泵p1),砂滤装置2,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,1.0
259,参考文件中第14页的图片，如果水流经过UV杀菌装置10，并且阀b11处于开启状态，那么接下来水流会流向哪个位置？,阀b12,用户的配管Sc,0.0,0.0,0.0,"['位置关系', '指定页面']",False,unknown,参考文件中第14页的图片，如果水流经过UV杀菌装置10，并且阀b11处于开启状态，那么接下来水流会流向哪个位置？,阀b11位于UV杀菌装置10的上方,用户的配管Sc,0.0625,0.0,0.08333333333333333,"['位置关系', '指定页面']",True,position,-0.0625
260,根据专利文本，PLC控制器的作用是什么？,控制整个加药装置的运行,用于控制给料装置、进水电磁阀、鼓风机、搅拌机、进药电磁阀、计量泵等,0.17045454545454544,0.0,0.22727272727272727,"['部件识别', '功能作用']",False,unknown,根据专利文本，PLC控制器的作用是什么？,控制整个加药装置的运行,用于控制给料装置、进水电磁阀、鼓风机、搅拌机、进药电磁阀、计量泵等,0.17045454545454544,0.0,0.22727272727272727,"['部件识别', '功能作用']",True,identification,0.0
261,根据专利文本，该建筑用施工进度智能追踪方法的核心目的是什么？,对施工项目中的每一个处理细节进行实时监管,实时监管施工项目中的每一个处理细节，保证施工进度,0.6136363636363636,0.0,0.8181818181818182,"['部件识别', '功能作用']",False,unknown,根据专利文本，该建筑用施工进度智能追踪方法的核心目的是什么？,提供一种建筑用施工进度智能追踪方法及系统,实时监管施工项目中的每一个处理细节，保证施工进度,0.17045454545454544,0.0,0.22727272727272727,"['部件识别', '功能作用']",True,identification,0.44318181818181823
262,根据专利文本，在施工进度智能追踪方法中，哪个步骤涉及到对施工策略进行演练？,对焊接参数进行实时监测和控制,S6：将预计施工进度信息加载在BIM模型后对完成预计施工进度信息的施工策略进行演练,0.08181818181818182,0.0,0.1090909090909091,['其他'],False,unknown,根据专利文本，在施工进度智能追踪方法中，哪个步骤涉及到对施工策略进行演练？,对焊接参数进行实时监测和控制,S6：将预计施工进度信息加载在BIM模型后对完成预计施工进度信息的施工策略进行演练,0.08181818181818182,0.0,0.1090909090909091,['其他'],False,other,0.0
263,在文件中第9页的系统架构图中，哪个模块直接位于“BIM模型”的下方？,施工演练模块,施工演练模块,1.0,1.0,1.0,"['位置关系', '指定页面']",False,unknown,在文件中第9页的系统架构图中，哪个模块直接位于“BIM模型”的下方？,施工演练模块,施工演练模块,1.0,1.0,1.0,"['位置关系', '指定页面']",True,position,0.0
264,在文件中第9页的系统架构图中，“信息推送模块”相对于“进度追踪模块”的位置关系是什么？,位于下方,位于下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第9页的系统架构图中，“信息推送模块”相对于“进度追踪模块”的位置关系是什么？,位于下方,位于下方,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
265,根据文件中第9页的系统架构图，如果要对完成预计施工进度信息的施工策略进行演练，需要依次经过哪些模块？,预计信息输入模块、施工演练模块,预计信息输入模块 -> 施工演练模块 -> 最优的施工策略,0.525,0.0,0.7000000000000001,['指定页面'],False,unknown,根据文件中第9页的系统架构图，如果要对完成预计施工进度信息的施工策略进行演练，需要依次经过哪些模块？,预计信息输入模块、施工演练模块,预计信息输入模块 -> 施工演练模块 -> 最优的施工策略,0.525,0.0,0.7000000000000001,['指定页面'],False,other,0.0
266,根据文件中第9页的系统架构图，哪个模块的输出同时作为“BIM模拟模型”和“进度模拟模块”的输入?,BIM模型,施工项目申请模块,0.11538461538461539,0.0,0.15384615384615385,['指定页面'],False,unknown,根据文件中第9页的系统架构图，哪个模块的输出同时作为“BIM模拟模型”和“进度模拟模块”的输入?,BIM模型,施工项目申请模块,0.11538461538461539,0.0,0.15384615384615385,['指定页面'],False,other,0.0
267,根据文本信息，该芯片平面度检测装置采用何种方式进行检测？,工业相机及激光器,自动化检测，无需人工参与,0.07500000000000001,0.0,0.1,['其他'],False,unknown,根据文本信息，该芯片平面度检测装置采用何种方式进行检测？,工业相机及激光器,自动化检测，无需人工参与,0.07500000000000001,0.0,0.1,['其他'],False,other,0.0
268,在文件中第7页提供的图片中，编号为5的部件相对于编号为4的部件的位置关系是什么？,位于部件4的右侧,位于其上方,0.23076923076923078,0.0,0.3076923076923077,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页提供的图片中，编号为5的部件相对于编号为4的部件的位置关系是什么？,位于右侧,位于其上方,0.33333333333333337,0.0,0.4444444444444445,"['位置关系', '部件识别', '指定页面']",True,position,-0.10256410256410259
269,在文件中第7页的图片中，部件11相对于部件5的位置关系是什么？,部件11位于部件5的上方,部件11完全位于部件5的下方,0.6346153846153846,0.0,0.8461538461538461,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页的图片中，部件11相对于部件5的位置关系是什么？,部件11位于部件5的右侧,部件11完全位于部件5的下方,0.5769230769230769,0.0,0.7692307692307692,"['位置关系', '部件识别', '指定页面']",True,position,0.05769230769230771
270,根据专利文本，该管线施工装置的主要作用是什么？,快速将旧管线向外拉出,用于快速更换旧管线。,0.375,0.0,0.5,"['部件识别', '功能作用']",False,unknown,根据专利文本，该管线施工装置的主要作用是什么？,快速更换旧管线,用于快速更换旧管线。,0.6176470588235294,0.0,0.8235294117647058,"['部件识别', '功能作用']",True,identification,-0.24264705882352944
271,根据专利文本，哪个部件的转动可以带动压板向管线的外部进行移动，从而固定管线？,螺纹杆,螺纹杆,1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",False,unknown,根据专利文本，哪个部件的转动可以带动压板向管线的外部进行移动，从而固定管线？,转盘,螺纹杆,0.0,0.0,0.0,"['位置关系', '部件识别', '连接关系']",True,position,1.0
272,在文件中第6页的装置图中，部件15相对于部件1的位置是什么关系？,部件15位于部件1的右侧,位于部件1的上方和内部,0.4565217391304348,0.0,0.6086956521739131,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的装置图中，部件15相对于部件1的位置是什么关系？,部件15位于部件1的右侧,位于部件1的上方和内部,0.4565217391304348,0.0,0.6086956521739131,"['位置关系', '部件识别', '指定页面']",True,position,0.0
273,在文件中第6页的装置图中，部件16相对于部件17的位置是什么关系？,部件16位于部件17的左侧,部件16是部件17的支撑结构,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的装置图中，部件16相对于部件17的位置是什么关系？,部件16位于部件17的左侧,部件16是部件17的支撑结构,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.0
274,根据文件中第6页图示，如果套环（15）在底台（1）内部向左移动，横杆（16）和横槽（17）会发生什么变化？,横杆(16)向左移动，横槽(17)不动,横杆（16）将沿着横槽（17）滑动，提供支撑,0.36585365853658536,0.0,0.4878048780487805,"['位置关系', '指定页面']",False,unknown,根据文件中第6页图示，如果套环（15）在底台（1）内部向左移动，横杆（16）和横槽（17）会发生什么变化？,横杆(16)在横槽(17)内部滑动,横杆（16）将沿着横槽（17）滑动，提供支撑,0.3846153846153847,0.0,0.5128205128205129,"['位置关系', '指定页面']",True,position,-0.018761726078799335
275,根据文件中第6页图示，如果需要调整压板（图中未标出）以固定不同直径的管线，可以通过旋转哪个部件来实现？,转盘(18),转盘（18）,0.75,1.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第6页图示，如果需要调整压板（图中未标出）以固定不同直径的管线，可以通过旋转哪个部件来实现？,转盘18,转盘（18）,0.8500000000000001,1.0,0.8,"['部件识别', '连接关系', '指定页面']",True,identification,-0.10000000000000009
276,根据专利文本，扳机上的哪个部件压在阀块露出的部位？,凸出部,凸出部,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，扳机上的哪个部件压在阀块露出的部位？,凸出部,凸出部,1.0,1.0,1.0,['部件识别'],True,identification,0.0
277,在文件中第5页提供的图片中，编号为4的部件相对于编号为1的部件的位置是什么？,位于部件1的右侧,位于阀体1的前方,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页提供的图片中，编号为4的部件相对于编号为1的部件的位置是什么？,位于部件1的后方,位于阀体1的前方,0.46875,0.0,0.625,"['位置关系', '部件识别', '指定页面']",True,position,-0.09375
278,在文件中第5页提供的图片中，哪个部件位于把手2的上方？,部件11,阀体1,0.2142857142857143,0.0,0.28571428571428575,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页提供的图片中，哪个部件位于把手2的上方？,部件11,阀体1,0.2142857142857143,0.0,0.28571428571428575,"['位置关系', '部件识别', '指定页面']",True,position,0.0
279,根据文件中第5页的图片和专利描述，如果需要枪头7供油，需要如何操作？,按压扳机5,扣动扳机5，间接按压阀块3,0.4166666666666667,0.0,0.5555555555555556,['指定页面'],False,unknown,根据文件中第5页的图片和专利描述，如果需要枪头7供油，需要如何操作？,按压扳机5,扣动扳机5，间接按压阀块3,0.4166666666666667,0.0,0.5555555555555556,['指定页面'],False,other,0.0
280,在文件中第5页提供的图片中，哪个部件直接连接阀体1和枪头7？,部件3,直弯接头6,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,在文件中第5页提供的图片中，哪个部件直接连接阀体1和枪头7？,连接杆,直弯接头6,0.1875,0.0,0.25,"['部件识别', '连接关系', '指定页面']",True,identification,-0.1875
281,根据专利描述，哪个部件用于从干燥仓排出废液？,过滤挡板,排液阀,0.0,0.0,0.0,"['部件识别', '功能作用']",False,unknown,根据专利描述，哪个部件用于从干燥仓排出废液？,过滤挡板5,排液阀,0.0,0.0,0.0,"['部件识别', '功能作用']",True,identification,0.0
282,在文件中第7页的图中，编号为92的部件是什么？,进料口,出料口,0.5,0.0,0.6666666666666666,"['部件识别', '指定页面']",False,unknown,在文件中第7页的图中，编号为92的部件是什么？,进料口,出料口,0.5,0.0,0.6666666666666666,"['部件识别', '指定页面']",True,identification,0.0
283,在文件中第7页的图中，哪个部件位于导流管的下端？,排液阀,排液阀,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第7页的图中，哪个部件位于导流管的下端？,出气阀,排液阀,0.25,0.0,0.3333333333333333,"['部件识别', '指定页面']",True,identification,0.75
284,基于文件中第7页的图示，如果需要监控干燥仓内的压力，应该参考哪个编号的部件？,部件11,11,0.5,0.0,0.6666666666666666,['指定页面'],False,unknown,基于文件中第7页的图示，如果需要监控干燥仓内的压力，应该参考哪个编号的部件？,部件11,11,0.5,0.0,0.6666666666666666,['指定页面'],False,other,0.0
285,在文件中第7页的图示中，气体经过管式气体加热装置后，首先进入哪个部件？,干燥仓,进气阀,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,在文件中第7页的图示中，气体经过管式气体加热装置后，首先进入哪个部件？,干燥仓,进气阀,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.0
286,在本实用新型中，哪个部件负责对输送带进行清理？,滚筒毛刷,滚筒毛刷(14),0.5,0.0,0.6666666666666666,['部件识别'],False,unknown,在本实用新型中，哪个部件负责对输送带进行清理？,滚筒毛刷,滚筒毛刷(14),0.5,0.0,0.6666666666666666,['部件识别'],True,identification,0.0
287,在文件中第5页的示意图中，编号为21的部件相对于编号为4的部件的位置关系是什么？,位于右侧,位于4的右侧,0.6000000000000001,0.0,0.8,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，编号为21的部件相对于编号为4的部件的位置关系是什么？,部件21位于部件4的右侧,位于4的右侧,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.10000000000000009
288,在文件中第5页的示意图中，编号为15的部件相对于编号为3的部件的位置关系是什么？,位于上方,15与3直接连接,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，编号为15的部件相对于编号为3的部件的位置关系是什么？,部件15位于部件3的上方,15与3直接连接,0.22499999999999998,0.0,0.3,"['位置关系', '部件识别', '指定页面']",True,position,-0.22499999999999998
289,根据文件中第5页的示意图，如果电机(8)出现故障停止工作，哪个部件会直接停止转动？,部件(1),第二转动杆(4),0.23076923076923078,0.0,0.3076923076923077,"['部件识别', '指定页面']",False,unknown,根据文件中第5页的示意图，如果电机(8)出现故障停止工作，哪个部件会直接停止转动？,部件(6),第二转动杆(4),0.23076923076923078,0.0,0.3076923076923077,"['部件识别', '指定页面']",True,identification,0.0
290,在文件中第5页的示意图中，输送菜品的过程中，输送带(7)除了可以输送菜品，还可以间接驱动哪个部件工作？,滚筒毛刷(14),滚筒毛刷(14),1.0,1.0,1.0,"['部件识别', '工作原理', '指定页面']",False,unknown,在文件中第5页的示意图中，输送菜品的过程中，输送带(7)除了可以输送菜品，还可以间接驱动哪个部件工作？,第三主动轮(13),滚筒毛刷(14),0.2647058823529412,0.0,0.35294117647058826,"['部件识别', '工作原理', '指定页面']",True,identification,0.7352941176470589
291,根据专利文本，该燃油箱用焊接机如何提高板材焊接的准确性？,使板材在焊接过程中位置稳定，避免偏移,通过第一滑块、第二滑块和第四滑块的滑动来调整板材位置，以及压板和夹板固定板材,0.1875,0.0,0.25,['其他'],False,unknown,根据专利文本，该燃油箱用焊接机如何提高板材焊接的准确性？,使板材在焊接过程中位置稳定，避免偏移,通过第一滑块、第二滑块和第四滑块的滑动来调整板材位置，以及压板和夹板固定板材,0.1875,0.0,0.25,['其他'],False,other,0.0
292,根据专利描述，该自动调节装置的主要用途是什么？,用于生产线的自动调节装置,用于在生产线上自动调整不同型号汽车前后桥的间距,0.3857142857142858,0.0,0.5142857142857143,['部件识别'],False,unknown,根据专利描述，该自动调节装置的主要用途是什么？,用于生产线的自动调节装置,用于在生产线上自动调整不同型号汽车前后桥的间距,0.3857142857142858,0.0,0.5142857142857143,['部件识别'],True,identification,0.0
293,在文件中第5页的图中，编号为2的部件相对于编号为1的部件的位置关系是？,位于右侧,位于编号为1的部件的侧面,0.28125,0.0,0.375,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的图中，编号为2的部件相对于编号为1的部件的位置关系是？,在右侧,位于编号为1的部件的侧面,0.1,0.0,0.13333333333333333,"['位置关系', '部件识别', '指定页面']",True,position,0.18125
294,在文件中第5页的图中，编号为6的部件相对于编号为5的部件的位置关系是？,位于右侧,位于编号为5的部件右侧,0.4,0.0,0.5333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的图中，编号为6的部件相对于编号为5的部件的位置关系是？,位于5的右侧,位于编号为5的部件右侧,0.5294117647058822,0.0,0.7058823529411764,"['位置关系', '部件识别', '指定页面']",True,position,-0.12941176470588223
295,根据文件中第5页图示，如果需要升高可调台面，升降架（编号8）上方的部件会发生什么变化？,向上移动,伸缩式罩壳(编号7)会伸长,0.0,0.0,0.0,"['位置关系', '指定页面']",False,unknown,根据文件中第5页图示，如果需要升高可调台面，升降架（编号8）上方的部件会发生什么变化？,可调台面会随之升高,伸缩式罩壳(编号7)会伸长,0.06818181818181819,0.0,0.09090909090909093,"['位置关系', '指定页面']",True,position,-0.06818181818181819
296,根据文件中第5页图示，若要调整两台车之间的距离，哪个部件的伸缩会直接影响距离的变化？,电动推杆5,电动推杆（编号5）,0.5357142857142857,0.0,0.7142857142857143,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第5页图示，若要调整两台车之间的距离，哪个部件的伸缩会直接影响距离的变化？,部件5,电动推杆（编号5）,0.125,0.0,0.16666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.4107142857142857
297,根据专利文本，如果检测信号值在1-5伏之间，回路信号安全检测器会如何提示？,语音提示“回路输入信号正常”,回路输入信号正常,0.5454545454545454,0.0,0.7272727272727273,['位置关系'],False,unknown,根据专利文本，如果检测信号值在1-5伏之间，回路信号安全检测器会如何提示？,语音提示“回路输入信号正常”,回路输入信号正常,0.5454545454545454,0.0,0.7272727272727273,['位置关系'],True,position,0.0
298,在文件中第6页的电路结构示意图中，AD775转换器的位置是什么？,位于AT89C55单片机的左侧,在量程切换电路和AT89C55之间,0.32812499999999994,0.0,0.43749999999999994,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的电路结构示意图中，AD775转换器的位置是什么？,位于AT89C55单片机的左侧,在量程切换电路和AT89C55之间,0.32812499999999994,0.0,0.43749999999999994,"['位置关系', '部件识别', '指定页面']",True,position,0.0
299,在文件中第6页的电路结构示意图中，哪个部件直接连接到语音芯片？,扬声器,AT89C55,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",False,unknown,在文件中第6页的电路结构示意图中，哪个部件直接连接到语音芯片？,扬声器,AT89C55,0.0,0.0,0.0,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
300,根据文件中第6页的电路结构示意图，若功能选择电路选择了阻抗/电压转换器，信号传递的下一个环节是什么？,量程切换电路,量程切换电路,1.0,1.0,1.0,"['部件识别', '功能作用', '指定页面']",False,unknown,根据文件中第6页的电路结构示意图，若功能选择电路选择了阻抗/电压转换器，信号传递的下一个环节是什么？,量程切换电路,量程切换电路,1.0,1.0,1.0,"['部件识别', '功能作用', '指定页面']",True,identification,0.0
301,在文件中第6页的电路结构示意图中，如果信号从量程切换电路输出，经过AD775转换器，最终信号会传递到哪个部件进行处理？,AT89C55单片机,AT89C55,0.6176470588235294,0.0,0.8235294117647058,"['部件识别', '指定页面']",False,unknown,在文件中第6页的电路结构示意图中，如果信号从量程切换电路输出，经过AD775转换器，最终信号会传递到哪个部件进行处理？,AT89C55单片机,AT89C55,0.6176470588235294,0.0,0.8235294117647058,"['部件识别', '指定页面']",True,identification,0.0
302,根据专利描述，现有锅炉模拟机存在的主要缺陷是什么？,现有锅炉模拟机未普及,仅以锅炉本体为中心进行培训，缺乏系统性,0.10344827586206896,0.0,0.13793103448275862,['部件识别'],False,unknown,根据专利描述，现有锅炉模拟机存在的主要缺陷是什么？,锅炉本体,仅以锅炉本体为中心进行培训，缺乏系统性,0.2608695652173913,0.0,0.34782608695652173,['部件识别'],True,identification,-0.15742128935532235
303,在文件中第5页的示意图中，编号为3的部件相对于编号为1的部件的位置是什么？,位于左侧,位于左侧,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，编号为3的部件相对于编号为1的部件的位置是什么？,位于部件1的左侧,位于左侧,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.5
304,在文件中第5页的示意图中，如果烟气排放系统（6）出现故障，最有可能直接影响哪个系统的运行？,余热回收系统（7）,余热回收系统（7）,1.0,1.0,1.0,['指定页面'],False,unknown,在文件中第5页的示意图中，如果烟气排放系统（6）出现故障，最有可能直接影响哪个系统的运行？,余热回收系统（7）,余热回收系统（7）,1.0,1.0,1.0,['指定页面'],False,other,0.0
305,在文件中第5页的示意图中，送风系统(4)，燃烧系统(3)与哪个组件直接相连？,锅炉本体(1),锅炉本体(1),1.0,1.0,1.0,['指定页面'],False,unknown,在文件中第5页的示意图中，送风系统(4)，燃烧系统(3)与哪个组件直接相连？,锅炉本体(1),锅炉本体(1),1.0,1.0,1.0,['指定页面'],False,other,0.0
306,根据专利文本，伸缩机构的作用是什么？,刷盘8自动伸缩,适应外立面的凹凸程度，保持刷盘紧贴外立面,0.11111111111111113,0.0,0.14814814814814817,"['部件识别', '功能作用']",False,unknown,根据专利文本，伸缩机构的作用是什么？,使刷盘进行连续化清洗,适应外立面的凹凸程度，保持刷盘紧贴外立面,0.1,0.0,0.13333333333333333,"['部件识别', '功能作用']",True,identification,0.011111111111111127
307,根据专利文本，限位机构的最右端与哪个部件的最右端对齐？,刷盘,刷盘,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，限位机构的最右端与哪个部件的最右端对齐？,刷盘,刷盘,1.0,1.0,1.0,['部件识别'],True,identification,0.0
308,在文件中第6页的图中，部件7（电机）相对于部件8（刷盘）的位置是什么？,位于刷盘的右侧,在左侧,0.15000000000000002,0.0,0.2,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的图中，部件7（电机）相对于部件8（刷盘）的位置是什么？,部件7位于部件8的右侧,在左侧,0.10714285714285715,0.0,0.14285714285714288,"['位置关系', '部件识别', '指定页面']",True,position,0.04285714285714287
309,根据文件中第6页的图片，哪个部件位于部件15（限位板）的正上方？,部件13,立柱(3),0.16666666666666669,0.0,0.22222222222222224,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第6页的图片，哪个部件位于部件15（限位板）的正上方？,位于部件15的正上方,立柱(3),0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",True,position,0.16666666666666669
310,在文件中第6页的示意图中，如果液压升降机(14)向上抬升，立柱(3)和滑轨(4)的位置会发生什么变化？,立柱(3)和滑轨(4)向上移动,立柱(3)和滑轨(4)会一起向上移动,0.6818181818181818,0.0,0.9090909090909091,"['位置关系', '指定页面']",False,unknown,在文件中第6页的示意图中，如果液压升降机(14)向上抬升，立柱(3)和滑轨(4)的位置会发生什么变化？,立柱(3)和滑轨(4)位于液压升降机(14)的上方,立柱(3)和滑轨(4)会一起向上移动,0.41860465116279066,0.0,0.5581395348837209,"['位置关系', '指定页面']",True,position,0.2632135306553911
311,根据文件中第6页的示意图，如果需要调整刷盘(8)的高度，首先需要操作哪个部件？,液压升降杆(14),液压升降机(14),0.6666666666666666,0.0,0.8888888888888888,"['部件识别', '指定页面']",False,unknown,根据文件中第6页的示意图，如果需要调整刷盘(8)的高度，首先需要操作哪个部件？,部件14,液压升降机(14),0.23076923076923073,0.0,0.30769230769230765,"['部件识别', '指定页面']",True,identification,0.4358974358974359
312,在文件中第11页的3T3R机器人结构示意图中，编号为5的部件相对于编号为4的部件的位置关系是？,位于4的右侧,位于其外侧并连接,0.3214285714285714,0.0,0.42857142857142855,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第11页的3T3R机器人结构示意图中，编号为5的部件相对于编号为4的部件的位置关系是？,位于部件4的右侧,位于其外侧并连接,0.28125,0.0,0.375,"['位置关系', '部件识别', '指定页面']",True,position,0.0401785714285714
313,在文件中第11页的3T3R机器人结构示意图中，编号为2的部件相对于编号为1的部件的位置关系是？,位于上方,位于其上方并支撑,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第11页的3T3R机器人结构示意图中，编号为2的部件相对于编号为1的部件的位置关系是？,位于部件1的上方,位于其上方并支撑,0.375,0.0,0.5,"['位置关系', '部件识别', '指定页面']",True,position,0.125
314,根据文件中第11页的3T3R机器人结构示意图，如果需要调整打磨工具或工件8的空间姿态，需要调整哪些转动轴系？,转动轴系4、5、6,调整第一转动轴系5、第二转动轴系6和第三转动轴系7,0.3088235294117647,0.0,0.4117647058823529,['指定页面'],False,unknown,根据文件中第11页的3T3R机器人结构示意图，如果需要调整打磨工具或工件8的空间姿态，需要调整哪些转动轴系？,转动轴系4、5、6,调整第一转动轴系5、第二转动轴系6和第三转动轴系7,0.3088235294117647,0.0,0.4117647058823529,['指定页面'],False,other,0.0
315,根据文件中第11页的3T3R机器人结构示意图，若要实现对不同高度工件的加工，主要通过调整哪个/哪些直线轴系来实现？,第一直线轴系(2),通过调整第一直线轴系2、第二直线轴系3和第三直线轴系4的组合来实现,0.25,0.0,0.3333333333333333,['指定页面'],False,unknown,根据文件中第11页的3T3R机器人结构示意图，若要实现对不同高度工件的加工，主要通过调整哪个/哪些直线轴系来实现？,第一直线轴系(2),通过调整第一直线轴系2、第二直线轴系3和第三直线轴系4的组合来实现,0.25,0.0,0.3333333333333333,['指定页面'],False,other,0.0
316,根据专利文本，溢流槽的主要作用是什么？,实现水液分离,用于分离碳氢和水。,0.30000000000000004,0.0,0.4,"['部件识别', '功能作用']",False,unknown,根据专利文本，溢流槽的主要作用是什么？,用于水液分离，降低冷凝液体进入蒸馏缓冲罐时的水含量,用于分离碳氢和水。,0.22058823529411764,0.0,0.29411764705882354,"['部件识别', '功能作用']",True,identification,0.0794117647058824
